configuration,shelf_snr_db,duty_cycle,rho,allowance,tolerance,status,eta,masked_fraction,r_sys,r_injected,claim_over_truth,truth_inside_allowance
snrm44p0_duty025,-44,0.25,12,half_unmasked_truth,4.9763396e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,12,tenth_unmasked_truth,9.9526793e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,31,half_unmasked_truth,4.9763396e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,31,tenth_unmasked_truth,9.9526793e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,62,half_unmasked_truth,4.9763396e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,62,tenth_unmasked_truth,9.9526793e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,93,half_unmasked_truth,4.9763396e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,93,tenth_unmasked_truth,9.9526793e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,112,half_unmasked_truth,4.9763396e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty025,-44,0.25,112,tenth_unmasked_truth,9.9526793e-07,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,12,half_unmasked_truth,9.9526793e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,12,tenth_unmasked_truth,1.9905359e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,31,half_unmasked_truth,9.9526793e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,31,tenth_unmasked_truth,1.9905359e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,62,half_unmasked_truth,9.9526793e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,62,tenth_unmasked_truth,1.9905359e-06,no feasible point,nan,nan,nan,nan,nan,False
snrm44p0_duty050,-44,0.5,93,half_unmasked_truth,9.9526793e-06,no feasible point,nan,nan,nan,nan,nan,False
